date,location,price,time,title
"Wed, Apr 17, 8:00am","Pier 27, San Francisco, CA",Starts at $995.00,,TOPO Summit 2019
date,location,price,time,title
"Tue, Jul 16, 9:00am","Davies Symphony Hall, San Francisco, CA",Starts at $809.10,,Mind the Product San Francisco 2019
date,location,price,time,title
"Tue, Jul 16, 9:00am","Davies Symphony Hall, San Francisco, CA",Starts at $809.10,,Mind the Product San Francisco 2019
date,location,price,time,title
"Fri, Jan 11, 4:30pm + 5 more events","Montgomery BART, San Francisco, CA","Starts at $1,499.00",,Sidewalk Talk: Second on Second in San Francisco
